path,noise,brightness_calc,contrast_calc,brightness,gamma,gain,exposure_absolute,contrast,saturation,hue,white_balance_temp,white_balance_auto,exposure_auto
assets/b-64_g72_g0_e100_c32_s40_h-10_w0_w6500_e0_1628851538.jpg,6.858412997271915e-18,20.642564247959854,20.33772800454244,-64,72,0,100,32,40,-10,6500,False,False
assets/b-64_g72_g0_e200_c32_s40_h-10_w0_w6500_e0_1628851543.jpg,3.0745424356762877e-18,1.7769233618627254,1.770233491706508,-64,72,0,200,32,40,-10,6500,False,False
assets/b-64_g72_g0_e300_c32_s40_h-10_w0_w6500_e0_1628851548.jpg,1.5228736043919395e-33,3.2046209856483667,3.192827798216568,-64,72,0,300,32,40,-10,6500,False,False
assets/b-64_g72_g0_e400_c32_s40_h-10_w0_w6500_e0_1628851553.jpg,1.5228736043919395e-33,4.62747389697323,4.609189808695716,-64,72,0,400,32,40,-10,6500,False,False
assets/b-64_g72_g0_e500_c32_s40_h-10_w0_w6500_e0_1628851559.jpg,1.5228736043919395e-33,5.878209537810166,5.852573908420747,-64,72,0,500,32,40,-10,6500,False,False
assets/b-64_g72_g0_e600_c32_s40_h-10_w0_w6500_e0_1628851564.jpg,1.5228736043919395e-33,7.003019795303843,6.96960420146396,-64,72,0,600,32,40,-10,6500,False,False
assets/b-64_g72_g0_e700_c32_s40_h-10_w0_w6500_e0_1628851569.jpg,1.5228736043919395e-33,7.985233024708422,7.943905082804946,-64,72,0,700,32,40,-10,6500,False,False
assets/b-64_g72_g0_e800_c32_s40_h-10_w0_w6500_e0_1628851575.jpg,1.5228736043919395e-33,8.874649820803148,8.825617579107261,-64,72,0,800,32,40,-10,6500,False,False
assets/b-64_g72_g0_e900_c32_s40_h-10_w0_w6500_e0_1628851581.jpg,1.5228736043919395e-33,9.655430308312386,9.598983912000087,-64,72,0,900,32,40,-10,6500,False,False
assets/b-64_g72_g20_e100_c32_s40_h-10_w0_w6500_e0_1628851586.jpg,1.3128467175733784e-17,0.7666627227302732,0.76354933746938,-64,72,20,100,32,40,-10,6500,False,False
assets/b-64_g72_g20_e200_c32_s40_h-10_w0_w6500_e0_1628851592.jpg,1.7750879028726327e-18,2.794917236669013,2.7874185808526537,-64,72,20,200,32,40,-10,6500,False,False
assets/b-64_g72_g20_e300_c32_s40_h-10_w0_w6500_e0_1628851597.jpg,1.5228736043919395e-33,4.954508772467752,4.939922422737678,-64,72,20,300,32,40,-10,6500,False,False
assets/b-64_g72_g20_e400_c32_s40_h-10_w0_w6500_e0_1628851602.jpg,1.5228736043919395e-33,7.042694219988176,7.018942271738345,-64,72,20,400,32,40,-10,6500,False,False
assets/b-64_g72_g20_e500_c32_s40_h-10_w0_w6500_e0_1628851607.jpg,1.5228736043919395e-33,8.842497814007286,8.808775368461495,-64,72,20,500,32,40,-10,6500,False,False
assets/b-64_g72_g20_e600_c32_s40_h-10_w0_w6500_e0_1628851612.jpg,1.5228736043919395e-33,10.426768306146558,10.382519203718418,-64,72,20,600,32,40,-10,6500,False,False
assets/b-64_g72_g20_e700_c32_s40_h-10_w0_w6500_e0_1628851618.jpg,1.5228736043919395e-33,11.797865672603615,11.743058515848366,-64,72,20,700,32,40,-10,6500,False,False
assets/b-64_g72_g20_e800_c32_s40_h-10_w0_w6500_e0_1628851623.jpg,1.5228736043919395e-33,13.030043551519874,12.965272366647671,-64,72,20,800,32,40,-10,6500,False,False
assets/b-64_g72_g20_e900_c32_s40_h-10_w0_w6500_e0_1628851628.jpg,1.5228736043919395e-33,14.11311073382296,14.038575325199437,-64,72,20,900,32,40,-10,6500,False,False
assets/b-64_g72_g40_e100_c32_s40_h-10_w0_w6500_e0_1628851634.jpg,1.3128467175733784e-17,1.1079646854773966,1.105053800931487,-64,72,40,100,32,40,-10,6500,False,False
assets/b-64_g72_g40_e200_c32_s40_h-10_w0_w6500_e0_1628851639.jpg,6.858412997271909e-18,4.017986440015167,4.0091562381614905,-64,72,40,200,32,40,-10,6500,False,False
assets/b-64_g72_g40_e300_c32_s40_h-10_w0_w6500_e0_1628851645.jpg,1.5228736043919395e-33,6.879575109550823,6.860927367601768,-64,72,40,300,32,40,-10,6500,False,False
assets/b-64_g72_g40_e400_c32_s40_h-10_w0_w6500_e0_1628851650.jpg,1.5228736043919395e-33,9.399724861409709,9.36863745656839,-64,72,40,400,32,40,-10,6500,False,False
assets/b-64_g72_g40_e500_c32_s40_h-10_w0_w6500_e0_1628851656.jpg,1.5228736043919395e-33,11.421209448568016,11.377194693970068,-64,72,40,500,32,40,-10,6500,False,False
assets/b-64_g72_g40_e600_c32_s40_h-10_w0_w6500_e0_1628851661.jpg,1.5228736043919395e-33,13.148702538077414,13.091411550694058,-64,72,40,600,32,40,-10,6500,False,False
assets/b-64_g72_g40_e700_c32_s40_h-10_w0_w6500_e0_1628851666.jpg,1.5228736043919395e-33,14.588001617977243,14.518380018912014,-64,72,40,700,32,40,-10,6500,False,False
assets/b-64_g72_g40_e800_c32_s40_h-10_w0_w6500_e0_1628851671.jpg,1.5228736043919395e-33,15.851435899598586,15.76969092954789,-64,72,40,800,32,40,-10,6500,False,False
assets/b-64_g72_g40_e900_c32_s40_h-10_w0_w6500_e0_1628851678.jpg,1.5228736043919395e-33,16.92364610972684,16.830385352802537,-64,72,40,900,32,40,-10,6500,False,False
assets/b-64_g72_g60_e100_c32_s40_h-10_w0_w6500_e0_1628851683.jpg,1.454889101564675e-17,1.5311785509087845,1.5281478051554331,-64,72,60,100,32,40,-10,6500,False,False
assets/b-64_g72_g60_e200_c32_s40_h-10_w0_w6500_e0_1628851689.jpg,5.204294401508584e-18,5.29149558973333,5.280693831057437,-64,72,60,200,32,40,-10,6500,False,False
assets/b-64_g72_g60_e300_c32_s40_h-10_w0_w6500_e0_1628851694.jpg,1.5228736043919395e-33,8.629901390366157,8.606220519066538,-64,72,60,300,32,40,-10,6500,False,False
assets/b-64_g72_g60_e400_c32_s40_h-10_w0_w6500_e0_1628851700.jpg,1.5228736043919395e-33,11.329325200078722,11.290476836593001,-64,72,60,400,32,40,-10,6500,False,False
assets/b-64_g72_g60_e500_c32_s40_h-10_w0_w6500_e0_1628851705.jpg,1.5228736043919395e-33,13.409867964681986,13.355791890645627,-64,72,60,500,32,40,-10,6500,False,False
assets/b-64_g72_g60_e600_c32_s40_h-10_w0_w6500_e0_1628851711.jpg,1.5228736043919395e-33,15.183452701726853,15.114292225225197,-64,72,60,600,32,40,-10,6500,False,False
assets/b-64_g72_g60_e700_c32_s40_h-10_w0_w6500_e0_1628851716.jpg,1.5228736043919395e-33,16.5771619785345,16.49387202524579,-64,72,60,700,32,40,-10,6500,False,False
assets/b-64_g72_g60_e800_c32_s40_h-10_w0_w6500_e0_1628851721.jpg,1.5228736043919395e-33,17.777306756596268,17.680721112912632,-64,72,60,800,32,40,-10,6500,False,False
assets/b-64_g72_g60_e900_c32_s40_h-10_w0_w6500_e0_1628851726.jpg,1.5228736043919395e-33,18.77549243682717,18.667224834643775,-64,72,60,900,32,40,-10,6500,False,False
assets/b-64_g72_g80_e100_c32_s40_h-10_w0_w6500_e0_1628851732.jpg,1.454889101564675e-17,2.0121679100130305,2.008958469967935,-64,72,80,100,32,40,-10,6500,False,False
assets/b-64_g72_g80_e200_c32_s40_h-10_w0_w6500_e0_1628851737.jpg,8.573016246589878e-18,6.595155208471152,6.5817823487131975,-64,72,80,200,32,40,-10,6500,False,False
assets/b-64_g72_g80_e300_c32_s40_h-10_w0_w6500_e0_1628851742.jpg,1.5228736043919395e-33,10.212184114961948,10.183110876586756,-64,72,80,300,32,40,-10,6500,False,False
assets/b-64_g72_g80_e400_c32_s40_h-10_w0_w6500_e0_1628851747.jpg,1.5228736043919395e-33,12.992930804649925,12.946190525430328,-64,72,80,400,32,40,-10,6500,False,False
assets/b-64_g72_g80_e500_c32_s40_h-10_w0_w6500_e0_1628851753.jpg,1.5228736043919395e-33,15.125973918807658,15.062159897205186,-64,72,80,500,32,40,-10,6500,False,False
assets/b-64_g72_g80_e600_c32_s40_h-10_w0_w6500_e0_1628851758.jpg,1.5228736043919395e-33,16.8110457872015,16.730839488469464,-64,72,80,600,32,40,-10,6500,False,False
assets/b-64_g72_g80_e700_c32_s40_h-10_w0_w6500_e0_1628851763.jpg,1.5228736043919395e-33,18.1497095138686,18.055021288669842,-64,72,80,700,32,40,-10,6500,False,False
assets/b-64_g72_g80_e800_c32_s40_h-10_w0_w6500_e0_1628851768.jpg,1.5228736043919395e-33,19.27958879558876,19.17039601077855,-64,72,80,800,32,40,-10,6500,False,False
assets/b-64_g72_g80_e900_c32_s40_h-10_w0_w6500_e0_1628851774.jpg,1.5228736043919395e-33,20.2196392957502,20.097797689803258,-64,72,80,900,32,40,-10,6500,False,False
assets/b-48_g72_g0_e100_c32_s40_h-10_w0_w6500_e0_1628851779.jpg,1.3128467175733784e-17,0.7034333889353411,0.7000103415053125,-48,72,0,100,32,40,-10,6500,False,False
assets/b-48_g72_g0_e200_c32_s40_h-10_w0_w6500_e0_1628851785.jpg,3.429206498635959e-18,2.3080651707515196,2.300517339135801,-48,72,0,200,32,40,-10,6500,False,False
assets/b-48_g72_g0_e300_c32_s40_h-10_w0_w6500_e0_1628851790.jpg,1.5228736043919395e-33,3.966164592475715,3.9521211538423047,-48,72,0,300,32,40,-10,6500,False,False
assets/b-48_g72_g0_e400_c32_s40_h-10_w0_w6500_e0_1628851795.jpg,1.5228736043919395e-33,5.553207104071944,5.53112983086987,-48,72,0,400,32,40,-10,6500,False,False
assets/b-48_g72_g0_e500_c32_s40_h-10_w0_w6500_e0_1628851800.jpg,1.5228736043919395e-33,6.928791880177473,6.8981117972200625,-48,72,0,500,32,40,-10,6500,False,False
assets/b-48_g72_g0_e600_c32_s40_h-10_w0_w6500_e0_1628851806.jpg,1.5228736043919395e-33,8.142371263321946,8.10284750461084,-48,72,0,600,32,40,-10,6500,False,False
assets/b-48_g72_g0_e700_c32_s40_h-10_w0_w6500_e0_1628851811.jpg,1.1421552032939546e-33,9.191051052158098,9.142703222156399,-48,72,0,700,32,40,-10,6500,False,False
assets/b-48_g72_g0_e800_c32_s40_h-10_w0_w6500_e0_1628851816.jpg,1.5228736043919395e-33,10.148771791556252,10.092000119720211,-48,72,0,800,32,40,-10,6500,False,False
assets/b-48_g72_g0_e900_c32_s40_h-10_w0_w6500_e0_1628851821.jpg,1.5228736043919395e-33,10.98171367368574,10.916719737792878,-48,72,0,900,32,40,-10,6500,False,False
assets/b-48_g72_g20_e100_c32_s40_h-10_w0_w6500_e0_1628851827.jpg,1.3128467175733784e-17,1.027483052861774,1.0243425170575182,-48,72,20,100,32,40,-10,6500,False,False
assets/b-48_g72_g20_e200_c32_s40_h-10_w0_w6500_e0_1628851832.jpg,8.573016246589878e-18,3.445977976320126,3.4371994485055835,-48,72,20,200,32,40,-10,6500,False,False
assets/b-48_g72_g20_e300_c32_s40_h-10_w0_w6500_e0_1628851838.jpg,1.5228736043919395e-33,5.8342883594194195,5.816652576257667,-48,72,20,300,32,40,-10,6500,False,False
assets/b-48_g72_g20_e400_c32_s40_h-10_w0_w6500_e0_1628851843.jpg,1.5228736043919395e-33,8.038180252660684,8.009893897163149,-48,72,20,400,32,40,-10,6500,False,False
assets/b-48_g72_g20_e500_c32_s40_h-10_w0_w6500_e0_1628851848.jpg,1.5228736043919395e-33,9.90303350199038,9.863118069624642,-48,72,20,500,32,40,-10,6500,False,False
assets/b-48_g72_g20_e600_c32_s40_h-10_w0_w6500_e0_1628851854.jpg,1.5228736043919395e-33,11.518757848861494,11.4671746563856,-48,72,20,600,32,40,-10,6500,False,False
assets/b-48_g72_g20_e700_c32_s40_h-10_w0_w6500_e0_1628851859.jpg,1.5228736043919395e-33,12.911497102079956,12.84849392550816,-48,72,20,700,32,40,-10,6500,False,False
assets/b-48_g72_g20_e800_c32_s40_h-10_w0_w6500_e0_1628851865.jpg,1.5228736043919395e-33,14.166745479931691,14.092629034215468,-48,72,20,800,32,40,-10,6500,False,False
assets/b-48_g72_g20_e900_c32_s40_h-10_w0_w6500_e0_1628851871.jpg,1.5228736043919395e-33,15.239422506708678,15.154926514943886,-48,72,20,900,32,40,-10,6500,False,False
assets/b-48_g72_g40_e100_c32_s40_h-10_w0_w6500_e0_1628851876.jpg,1.454889101564675e-17,1.4772202037302549,1.4738350403265064,-48,72,40,100,32,40,-10,6500,False,False
assets/b-48_g72_g40_e200_c32_s40_h-10_w0_w6500_e0_1628851881.jpg,8.573016246589878e-18,4.762911629580989,4.751906589118343,-48,72,40,200,32,40,-10,6500,False,False
assets/b-48_g72_g40_e300_c32_s40_h-10_w0_w6500_e0_1628851886.jpg,1.5228736043919395e-33,7.810815701220935,7.788061307925173,-48,72,40,300,32,40,-10,6500,False,False
assets/b-48_g72_g40_e400_c32_s40_h-10_w0_w6500_e0_1628851892.jpg,1.5228736043919395e-33,10.370077554820607,10.333000314985778,-48,72,40,400,32,40,-10,6500,False,False
assets/b-48_g72_g40_e500_c32_s40_h-10_w0_w6500_e0_1628851898.jpg,1.5228736043919395e-33,12.399155705112939,12.34816188802438,-48,72,40,500,32,40,-10,6500,False,False
assets/b-48_g72_g40_e600_c32_s40_h-10_w0_w6500_e0_1628851903.jpg,1.5228736043919395e-33,14.120986946025399,14.05564666485297,-48,72,40,600,32,40,-10,6500,False,False
assets/b-48_g72_g40_e700_c32_s40_h-10_w0_w6500_e0_1628851908.jpg,1.5228736043919395e-33,15.539518308101831,15.461049221839293,-48,72,40,700,32,40,-10,6500,False,False
assets/b-48_g72_g40_e800_c32_s40_h-10_w0_w6500_e0_1628851914.jpg,1.5228736043919395e-33,16.767499815960292,16.6760795133822,-48,72,40,800,32,40,-10,6500,False,False
assets/b-48_g72_g40_e900_c32_s40_h-10_w0_w6500_e0_1628851919.jpg,1.5228736043919395e-33,17.80055875420654,17.697028820223977,-48,72,40,900,32,40,-10,6500,False,False
assets/b-48_g72_g60_e100_c32_s40_h-10_w0_w6500_e0_1628851925.jpg,1.4548891015646752e-17,1.9481786039560458,1.9448729357001142,-48,72,60,100,32,40,-10,6500,False,False
assets/b-48_g72_g60_e200_c32_s40_h-10_w0_w6500_e0_1628851930.jpg,6.858412997271921e-18,6.0787339216379745,6.065444359304483,-48,72,60,200,32,40,-10,6500,False,False
